X,Y,id,type,name,floor,distance,angle
211.004561409766,416.192780151317,2,walk,"2",2,15,89.7916526291939
212.004554798261,416.196416490912,2,walk,"2",2,16,89.7916526291939
213.004548186757,416.200052830506,2,walk,"2",2,17,89.7916526291939
214.004541575252,416.203689170101,2,walk,"2",2,18,89.7916526291939
215.004534963747,416.207325509695,2,walk,"2",2,19,89.7916526291939
216.004528352243,416.21096184929,2,walk,"2",2,20,89.7916526291939
217.004521740738,416.214598188884,2,walk,"2",2,21,89.7916526291939
218.004515129233,416.218234528479,2,walk,"2",2,22,89.7916526291939
219.004508517729,416.221870868073,2,walk,"2",2,23,89.7916526291939
220.004501906224,416.225507207668,2,walk,"2",2,24,89.7916526291939
221.004495294719,416.229143547262,2,walk,"2",2,25,89.7916526291939
222.004488683215,416.232779886857,2,walk,"2",2,26,89.7916526291939
223.00448207171,416.236416226451,2,walk,"2",2,27,89.7916526291939
224.004475460205,416.240052566046,2,walk,"2",2,28,89.7916526291939
225.004468848701,416.24368890564,2,walk,"2",2,29,89.7916526291939
226.004462237196,416.247325245235,2,walk,"2",2,30,89.7916526291939
227.004455625691,416.250961584829,2,walk,"2",2,31,89.7916526291939
228.004449014186,416.254597924424,2,walk,"2",2,32,89.7916526291939
229.004442402682,416.258234264018,2,walk,"2",2,33,89.7916526291939
230.004435791177,416.261870603613,2,walk,"2",2,34,89.7916526291939
231.004429179672,416.265506943208,2,walk,"2",2,35,89.7916526291939
232.004422568168,416.269143282802,2,walk,"2",2,36,89.7916526291939
233.004415956663,416.272779622397,2,walk,"2",2,37,89.7916526291939
234.004409345158,416.276415961991,2,walk,"2",2,38,89.7916526291939
212.636266600795,416.277996452512,3,walk,"3",1,0,359.333800029817
212.624639479833,417.277928855257,3,walk,"3",1,1,359.333800029817
212.613012358871,418.277861258001,3,walk,"3",1,2,359.333800029817
212.601385237909,419.277793660745,3,walk,"3",1,3,359.333800029817
212.589758116947,420.27772606349,3,walk,"3",1,4,359.333800029817
212.578130995985,421.277658466234,3,walk,"3",1,5,359.333800029817
212.566503875022,422.277590868978,3,walk,"3",1,6,359.333800029817
212.55487675406,423.277523271723,3,walk,"3",1,7,359.333800029817
212.543249633098,424.277455674467,3,walk,"3",1,8,359.333800029817
212.531622512136,425.277388077211,3,walk,"3",1,9,359.333800029817
212.519995391174,426.277320479956,3,walk,"3",1,10,359.333800029817
212.508368270212,427.2772528827,3,walk,"3",1,11,359.333800029817
212.496741149249,428.277185285445,3,walk,"3",1,12,359.333800029817
212.496505205682,424.104634578846,4,walk,"4",1,0,268.430645195251
211.496880299469,424.077247595114,4,walk,"4",1,1,268.430645195251
210.497255393255,424.049860611382,4,walk,"4",1,2,268.430645195251
209.497630487042,424.02247362765,4,walk,"4",1,3,268.430645195251
208.498005580829,423.995086643918,4,walk,"4",1,4,268.430645195251
207.498380674615,423.967699660186,4,walk,"4",1,5,268.430645195251
206.498755768402,423.940312676455,4,walk,"4",1,6,268.430645195251
205.499130862189,423.912925692723,4,walk,"4",1,7,268.430645195251
204.499505955975,423.885538708991,4,walk,"4",1,8,268.430645195251
203.499881049762,423.858151725259,4,walk,"4",1,9,268.430645195251
202.500256143549,423.830764741527,4,walk,"4",1,10,268.430645195251
212.496505205682,428.017953642013,5,walk,"5",1,0,90
213.496505205682,428.017953642013,5,walk,"5",1,1,90
214.496505205682,428.017953642013,5,walk,"5",1,2,90
215.496505205682,428.017953642013,5,walk,"5",1,3,90
216.496505205682,428.017953642013,5,walk,"5",1,4,90
217.496505205682,428.017953642013,5,walk,"5",1,5,90
218.496505205682,428.017953642013,5,walk,"5",1,6,90
219.496505205682,428.017953642013,5,walk,"5",1,7,90
220.496505205682,428.017953642013,5,walk,"5",1,8,90
221.496505205682,428.017953642013,5,walk,"5",1,9,90
222.496505205682,428.017953642013,5,walk,"5",1,10,90
223.122872510219,427.639846462968,5,walk,"5",1,11,179.317939606827
223.134776428622,426.639917317115,5,walk,"5",1,12,179.317939606827
223.146680347025,425.639988171262,5,walk,"5",1,13,179.317939606827
